国勢調査（総務省統計局）　時系列データ　男女，年齢，配偶関係,,,
第１表　男女別人口及び人口性比 － 全国，都道府県（大正9年～令和2年）：人口,,,
,,,
1) 昭和20年において、沖縄県は調査されなかったため、含まれていない。,,,
2) 昭和35年において、長野県西筑摩郡山口村と岐阜県中津川市の境界紛争地域人口（男39人、女34人）は全国に含まれているが、長野県及び岐阜県のいずれにも含まれていない。,,,
（人）,,,
地域,1920年,大正9年,
,総数,男,女
00000_全国,"55,963,053","28,044,185","27,918,868"
00000_全国（人口集中地区）,-,-,-
00000_全国（人口集中地区以外の地区）,-,-,-
01000_北海道,"2,359,183","1,244,322","1,114,861"
02000_青森県,"756,454","381,293","375,161"
03000_岩手県,"845,540","421,069","424,471"
04000_宮城県,"961,768","485,309","476,459"
05000_秋田県,"898,537","453,682","444,855"
06000_山形県,"968,925","478,328","490,597"
07000_福島県,"1,362,750","673,525","689,225"
08000_茨城県,"1,350,400","662,128","688,272"
09000_栃木県,"1,046,479","514,255","532,224"
10000_群馬県,"1,052,610","514,106","538,504"
11000_埼玉県,"1,319,533","641,161","678,372"
12000_千葉県,"1,336,155","656,968","679,187"
13000_東京都,"3,699,428","1,952,989","1,746,439"
14000_神奈川県,"1,323,390","689,751","633,639"
15000_新潟県,"1,776,474","871,532","904,942"
16000_富山県,"724,276","354,775","369,501"
17000_石川県,"747,360","364,375","382,985"
18000_福井県,"599,155","293,181","305,974"
19000_山梨県,"583,453","290,817","292,636"
20000_長野県,"1,562,722","758,639","804,083"
21000_岐阜県,"1,070,407","536,334","534,073"
22000_静岡県,"1,550,387","774,169","776,218"
23000_愛知県,"2,089,762","1,033,860","1,055,902"
24000_三重県,"1,069,270","525,957","543,313"
25000_滋賀県,"651,050","313,737","337,313"
26000_京都府,"1,287,147","650,780","636,367"
27000_大阪府,"2,587,847","1,344,846","1,243,001"
28000_兵庫県,"2,301,799","1,175,426","1,126,373"
29000_奈良県,"564,607","280,383","284,224"
30000_和歌山県,"750,411","372,058","378,353"
31000_鳥取県,"454,675","222,802","231,873"
32000_島根県,"714,712","354,959","359,753"
33000_岡山県,"1,217,698","605,316","612,382"
34000_広島県,"1,541,905","775,080","766,825"
35000_山口県,"1,041,013","521,041","519,972"
36000_徳島県,"670,212","331,768","338,444"
37000_香川県,"677,852","336,195","341,657"
38000_愛媛県,"1,046,720","515,389","531,331"
39000_高知県,"670,895","332,087","338,808"
40000_福岡県,"2,188,249","1,116,818","1,071,431"
41000_佐賀県,"673,895","329,962","343,933"
42000_長崎県,"1,136,182","584,234","551,948"
43000_熊本県,"1,233,233","602,389","630,844"
44000_大分県,"860,282","422,708","437,574"
45000_宮崎県,"651,097","326,610","324,487"
46000_鹿児島県,"1,415,582","682,243","733,339"
47000_沖縄県,"571,572","274,829","296,743"
,,,
,,,
,,,
